Location,Arrow
K2-02-018-1,DOWN
K2-02-020-1,DOWN
K2-02-022-1,DOWN
K2-02-024-1,DOWN
K2-02-026-1,DOWN
K2-02-028-1,DOWN
K2-02-030-1,DOWN
K2-02-032-1,DOWN
K2-02-034-1,DOWN
K2-02-036-1,DOWN
K2-02-038-1,DOWN
K2-02-040-1,DOWN
K2-02-042-1,DOWN
K2-02-044-1,DOWN
K2-02-046-1,DOWN
K2-02-048-1,DOWN
K2-02-050-1,DOWN
K2-02-052-1,DOWN
K2-02-054-1,DOWN
K2-02-056-1,DOWN
K2-02-058-1,DOWN
K2-02-060-1,DOWN
K2-02-061-1,DOWN
K2-02-062-1,DOWN
K2-02-063-1,DOWN
K2-02-064-1,DOWN
K2-02-065-1,DOWN
K2-02-066-1,DOWN
K2-02-067-1,DOWN
K2-02-068-1,DOWN
K2-02-069-1,DOWN
K2-02-070-1,DOWN
K2-02-071-1,DOWN
K2-02-072-1,DOWN
K2-02-073-1,DOWN
K2-02-074-1,DOWN
K2-02-075-1,DOWN
K2-02-076-1,DOWN
K2-02-077-1,DOWN
K2-02-078-1,DOWN
K2-02-079-1,DOWN
K2-02-080-1,DOWN
K2-02-081-1,DOWN
K2-02-082-1,DOWN
K2-02-083-1,DOWN
K2-02-084-1,DOWN
K2-02-085-1,DOWN
K2-02-086-1,DOWN
K2-02-087-1,DOWN
K2-02-088-1,DOWN
K2-02-089-1,DOWN
K2-02-090-1,DOWN
K2-02-091-1,DOWN
K2-02-092-1,DOWN
K2-02-093-1,DOWN
K2-02-094-1,DOWN
K2-02-095-1,DOWN
K2-02-096-1,DOWN
K2-02-097-1,DOWN
K2-02-098-1,DOWN
K2-02-099-1,DOWN
K2-02-100-1,DOWN
K2-03-018-1,DOWN
K2-03-020-1,DOWN
K2-03-022-1,DOWN
K2-03-024-1,DOWN
K2-03-026-1,DOWN
K2-03-028-1,DOWN
K2-03-030-1,DOWN
K2-03-032-1,DOWN
K2-03-034-1,DOWN
K2-03-036-1,DOWN
K2-03-038-1,DOWN
K2-03-040-1,DOWN
K2-03-042-1,DOWN
K2-03-044-1,DOWN
K2-03-046-1,DOWN
K2-03-048-1,DOWN
K2-03-050-1,DOWN
K2-03-052-1,DOWN
K2-03-054-1,DOWN
K2-03-056-1,DOWN
K2-03-058-1,DOWN
K2-03-060-1,DOWN
K3-03-018-1,DOWN
K3-03-020-1,DOWN
K3-03-022-1,DOWN
K3-03-024-1,DOWN
K3-03-026-1,DOWN
K3-03-028-1,DOWN
K3-03-030-1,DOWN
K3-03-032-1,DOWN
K3-03-034-1,DOWN
K3-03-036-1,DOWN
K3-03-038-1,DOWN
K3-03-040-1,DOWN
K3-03-042-1,DOWN
K3-03-044-1,DOWN
K3-03-046-1,DOWN
K3-03-048-1,DOWN
K3-03-050-1,DOWN
K3-03-052-1,DOWN
K3-03-054-1,DOWN
K3-03-056-1,DOWN
K3-03-058-1,DOWN
K3-03-060-1,DOWN
K2-03-061-1,DOWN
K2-03-062-1,DOWN
K2-03-063-1,DOWN
K2-03-064-1,DOWN
K2-03-065-1,DOWN
K2-03-066-1,DOWN
K2-03-067-1,DOWN
K2-03-068-1,DOWN
K2-03-069-1,DOWN
K2-03-070-1,DOWN
K2-03-071-1,DOWN
K2-03-072-1,DOWN
K2-03-073-1,DOWN
K2-03-074-1,DOWN
K2-03-075-1,DOWN
K2-03-076-1,DOWN
K2-03-077-1,DOWN
K2-03-078-1,DOWN
K2-03-079-1,DOWN
K2-03-080-1,DOWN
K2-03-081-1,DOWN
K2-03-082-1,DOWN
K2-03-083-1,DOWN
K2-03-084-1,DOWN
K2-03-085-1,DOWN
K2-03-086-1,DOWN
K2-03-087-1,DOWN
K2-03-088-1,DOWN
K2-03-089-1,DOWN
K2-03-090-1,DOWN
